	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40
D4M31	0.0	0.1049084059362374	0.207073744549782	0.5299697351894076	0.1858620220808832	0.1955367970718829	0.2435405948237929	0.2650032189287571	0.3031660282411296	0.3278016604664187	0.2559018252730109	0.2683345233809352	0.2329266426657066	0.2654078815152606	0.3576353250130005	0.2565778167126685	0.223381252050082	0.223549444377775	0.2837884927397095	0.162086302652106	0.1493853026121044	0.1216046845873835	0.1672653998159926	0.1848170774830993	0.2316403516140645	0.2071293203728149	0.3404746689867595	0.2786959462378495	0.2511497999919996	0.1382878467138685	0.1571254662186487	0.2471482791311652	0.1704422316892675	0.1795146561862474	0.1543283451338054	0.1813849361974479	0.2084383299331973	0.2264374618984759	0.1730363834553382	0.1832932349293971	0.2351256870274811	0.1607488983559342	0.2102292383695347	0.2041107796311852	0.2361772646905876	0.2477232653306132	0.2855119720788832	0.3410120912836513	0.244253749349974
D4M32	0.1049084059362374	0.0	0.2386254354174167	0.541689371174847	0.2029895999839993	0.1807005052202088	0.2511618340733629	0.2476545457818313	0.3120405824232969	0.3307038837553502	0.263798780351214	0.2844709048361934	0.2442547429897196	0.2730380283211329	0.3730061302452099	0.2378790943637745	0.2518764430577223	0.2494554150166007	0.3183467422696908	0.1969292251690068	0.1382718732749309	0.159288802352094	0.2007882495299812	0.2333160214408576	0.2263083495339814	0.2116516444657786	0.322690633625345	0.2798121804872195	0.2508748545941838	0.1586425753030121	0.1769181755270211	0.2758201196047841	0.1963820988839553	0.186273804952198	0.1597552614104564	0.1928762086483459	0.2255458830353214	0.2384104048161926	0.1814458238329533	0.1806271282851314	0.2414390131605264	0.1921908344333773	0.1952056870274811	0.2270501844073763	0.2328761550462019	0.2336380651226049	0.2974063286531461	0.3475339265570623	0.2561428849153966
D4M33	0.207073744549782	0.2386254354174167	0.0	0.6112930737229489	0.2020345209808392	0.2261676999079963	0.2247640797631905	0.2565704304172166	0.2809949637985519	0.2876560058402336	0.2655753810152406	0.2706035693427737	0.3215955270210808	0.2706972738909556	0.3445241565662626	0.3723364622584903	0.3177152014080563	0.3229635489419576	0.3810620932837313	0.1521977303092123	0.2567405352214088	0.1541521784871394	0.0971203164126565	0.1328247313892555	0.2603196723868954	0.2585155766230649	0.3139515384615385	0.2768391775671026	0.2508172690907636	0.2412757430297211	0.2846132537301492	0.3356941257650306	0.1751147977919117	0.204004407776311	0.2468167966718669	0.2337199503980158	0.1807453054122165	0.2044959138365534	0.2317088895555822	0.3307999975999039	0.2836327617104685	0.3089370898835953	0.3555948257930317	0.3142231705268211	0.2889874042961718	0.2972389907596304	0.2473972258890356	0.3270416156646266	0.2228777199087963
D4M34	0.5299697351894076	0.541689371174847	0.6112930737229489	0.0	0.5390735021400856	0.5984484683387336	0.652683078523141	0.6241109044361774	0.6916464662586503	0.7334168350734029	0.6463331917276691	0.6632198063922559	0.6139246725869035	0.6524841593663747	0.7246287619504781	0.6374331993279732	0.6330440437617505	0.6285932113284531	0.5791854954198168	0.5807141721668867	0.5364189995599824	0.5528359462378495	0.5927803176127046	0.595264435777431	0.6121022248889956	0.5918106088243529	0.7215953606144245	0.6630359170366815	0.6425635081403256	0.5776753482139285	0.587030664426577	0.548846939477579	0.6073503668146726	0.6139160678427137	0.5781727801112044	0.6022434669386776	0.6444997023880955	0.6418799367974719	0.5901601144045763	0.5791565882635306	0.6347526221048843	0.5743024152966119	0.5816161742469699	0.6148732609304373	0.6298482151286051	0.6343382159286372	0.6874265106604265	0.7247196031841274	0.6698655062202488
D4M35	0.1858620220808832	0.2029895999839993	0.2020345209808392	0.5390735021400856	0.0	0.2372839865594624	0.3146376759070363	0.2825375591023641	0.3568851350054002	0.3722535693427737	0.2776183183327333	0.3071010240409617	0.2992612108484339	0.3177770734829393	0.406759369574783	0.3675588899555982	0.3419861982479299	0.3469314776591063	0.3910421096843873	0.1933939745589823	0.2638575667026681	0.1933336941477659	0.2147874698987959	0.1754426909076363	0.2810255506220249	0.2797783163326534	0.3628379071162846	0.3502504504180167	0.3178240121604864	0.2816115000600024	0.3049979927197087	0.3816068234729389	0.2779550798031921	0.2599144933797352	0.2550508128325133	0.2751043029721188	0.2855383383335333	0.3069534765390616	0.268033131725269	0.3287936145445818	0.3422585839433577	0.3141366150646025	0.3514868482739309	0.3188775627025081	0.3053442173686948	0.308403740149606	0.3565432257290292	0.4071265578623145	0.3142951634065363
D4M36	0.1955367970718829	0.1807005052202088	0.2261676999079963	0.5984484683387336	0.2372839865594624	0.0	0.1112930957238289	0.1192808984359374	0.1597830885235409	0.201375045401816	0.1973189391575663	0.1809921812872514	0.2268140289611584	0.190341305652226	0.280523138525541	0.2485308320332813	0.2231370386815472	0.225344408576343	0.3154851482059282	0.19478876075043	0.2454827589103564	0.1936441985679427	0.1611154694187767	0.2110298799951998	0.090459398375935	0.0994355570222809	0.1899173718948757	0.1559396563862554	0.116840685627425	0.1918308160326413	0.1835979039161566	0.3481558814352574	0.1492489643585743	0.1069437009480378	0.1799640453618145	0.1761490823632945	0.1111082467298692	0.1379077707108283	0.1335269266770671	0.2123122120884835	0.1949565798631946	0.1982535565422616	0.2394146637865515	0.1949817612704508	0.1537829621184847	0.1559551366054642	0.1751810752430097	0.2244488867554702	0.1346795947837913
D4M37	0.2435405948237929	0.2511618340733629	0.2247640797631905	0.652683078523141	0.3146376759070363	0.1112930957238289	0.0	0.1228351726069043	0.0994909968398735	0.1463246449857994	0.2173482595303812	0.1506316860674427	0.2272996427857114	0.1639749405976239	0.211275037401496	0.2811474654986199	0.2375963114524581	0.2418861662466498	0.3220347573902956	0.2452248133925357	0.2871675967038681	0.2369866962678507	0.1739290331613265	0.2113210756430256	0.1217847897915916	0.1146633813352534	0.1533951598063922	0.1115155802232089	0.0900760630425217	0.2159085231409256	0.2043235625425017	0.3572481971278851	0.1627205824232969	0.1387203456138245	0.2026064590583623	0.1661047965918636	0.0693685379415176	0.0836688827553102	0.144114412576503	0.25088497099884	0.2109905692227689	0.2224634497379895	0.2780399639985599	0.2190666598663946	0.1810899327973119	0.174283173726949	0.092773172526901	0.1657297115884635	0.0777283575343013
D4M38	0.2650032189287571	0.2476545457818313	0.2565704304172166	0.6241109044361774	0.2825375591023641	0.1192808984359374	0.1228351726069043	0.0	0.1338367258690347	0.1860544765790631	0.2236266842673707	0.1668377983119324	0.2092892815712628	0.19326251050042	0.2429383751350054	0.2534008572342894	0.2340272654906196	0.2398753450138006	0.3312292067682707	0.2754583203328133	0.3169299143965758	0.2690998287931517	0.2099378543141725	0.2429803964158566	0.1312667042681707	0.1549736993479739	0.1392089971598863	0.1484809572382895	0.1293474834993399	0.2587877199087963	0.2115582511300452	0.3923133397335893	0.20554500100004	0.1410403352134085	0.2274547625905036	0.2325655174206968	0.1381316004640185	0.1205430305212208	0.1843921020840833	0.2750564842593704	0.2148909004360174	0.2452466962678507	0.3015685899435977	0.2338830061202448	0.1892055062202488	0.1829876507060282	0.1432196527861114	0.2009667354694187	0.129701274850994
D4M39	0.3031660282411296	0.3120405824232969	0.2809949637985519	0.6916464662586503	0.3568851350054002	0.1597830885235409	0.0994909968398735	0.1338367258690347	0.0	0.1332015580623224	0.2476941185647425	0.1663603204128165	0.2388885603424137	0.1893948761950478	0.1655017228689148	0.2833943189727589	0.2456154734189367	0.2513167102684107	0.354302513300532	0.3184616888675547	0.3531068890755631	0.3108303712148486	0.2438761034441377	0.2696550982039281	0.1356177475099004	0.1588199671986879	0.1196001716068642	0.1048024352974119	0.1100658118324733	0.2909972750910037	0.2331529273170927	0.4058053726149045	0.233933790551622	0.199167535101404	0.2486499547981919	0.2413721716868674	0.1395485303412136	0.1233499143965758	0.2029430117204688	0.300788085923437	0.2226445565822633	0.2664927217088683	0.3235159490379615	0.2291478243129725	0.1911429145165806	0.1800113864554582	0.0771915424616984	0.1134599939997599	0.1036460186407456
D4M40	0.3278016604664187	0.3307038837553502	0.2876560058402336	0.7334168350734029	0.3722535693427737	0.201375045401816	0.1463246449857994	0.1860544765790631	0.1332015580623224	0.0	0.2828004976199048	0.223760041601664	0.3089175683027321	0.2544188559542382	0.1911360590423617	0.320599400376015	0.2740738009520381	0.2793692695707828	0.3828980247209888	0.3121661126445058	0.3731971874874995	0.3190064858594343	0.2537273522940917	0.275059406776271	0.20491629425177	0.2234815916636665	0.089036861474459	0.1413478351134045	0.1410464634585383	0.308294383375335	0.2832982711308452	0.4561742613704548	0.2478079083163326	0.2087569574782991	0.3138805972238889	0.2948668006720268	0.1698322436897475	0.180073734949398	0.2592889203568143	0.3385749409976399	0.2375409272370894	0.3133179799191967	0.3476047977919117	0.2566678439137565	0.2361006108244329	0.2333207736309452	0.1485163614544582	0.1374328933157326	0.1261538729549182
