Taxonomy	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40	Tax_detail
Bacteroidia	0.586903476139045	0.572662906516261	0.698787951518061	0.226249049961999	0.612984519380776	0.666546661866475	0.722748909956398	0.687267490699629	0.741789671586864	0.817192687707508	0.65930637225489	0.6891875675027	0.584383375335013	0.670546821872875	0.794751790071603	0.566582663306533	0.609664386575463	0.603424136965479	0.507340293611745	0.662666506660267	0.537141485659427	0.633145325813033	0.700468018720749	0.700748029921197	0.666866674666987	0.643585743429737	0.78523140925637	0.727229089163567	0.711348453938158	0.593183727349094	0.576703068122725	0.455138205528221	0.661946477859115	0.69038761550462	0.578463138525541	0.615224608984359	0.711668466738669	0.700908036321453	0.633025321012841	0.550062002480099	0.630665226609065	0.56426257050282	0.53738149525981	0.614904596183847	0.634425377015081	0.650666026641066	0.738749549981999	0.771390855634225	0.734869394775791	k__Bacteria;p__Bacteroidota;c__Bacteroidia;
Bacilli	0.108524340973639	0.183567342693708	0.0396815872634905	0.109644385775431	0.158366334653386	0.114604584183367	0.0526421056842274	0.0820032801312052	0.0409216368654746	0.0546421856874275	0.0522020880835233	0.0505620224808992	0.062882515300612	0.0566822672906916	0.030601224048962	0.115164606584263	0.0774830993239729	0.0814832593303732	0.0568422736909476	0.156966278651146	0.184807392295692	0.12852514100564	0.0738829553182127	0.0739229569182767	0.131285251410056	0.102204088163527	0.0774830993239729	0.0763230529221169	0.0864034561382455	0.0681627265090603	0.0724428977159086	0.0380015200608024	0.0508420336813473	0.1191247649906	0.0773230929237169	0.0606824272970919	0.046841873674947	0.0490819632785311	0.0969638785551422	0.171406856274251	0.0809632385295412	0.0894835793431737	0.216848673946958	0.140765630625225	0.150686027441098	0.180167206688268	0.0290411616464659	0.047081883275331	0.0574822992919717	k__Bacteria;p__Firmicutes;c__Bacilli;
Clostridia	0.150966038641546	0.127205088203528	0.212008480339214	0.168486739469579	0.0662426497059882	0.148845953838154	0.185847433897356	0.122044881795272	0.135445417816713	0.104204168166727	0.0818432737309492	0.107924316972679	0.163846553862154	0.158966358654346	0.0734829393175726	0.166806672266891	0.182127285091404	0.18408736349454	0.139365574622985	0.146565862634505	0.216888675547022	0.189207568302732	0.182367294691788	0.174046961878475	0.137965518620745	0.179607184287372	0.10064402576103	0.139845593823753	0.122204888195528	0.27353094123765	0.203288131525261	0.405976239049562	0.240169606784271	0.125485019400776	0.242609704388176	0.269890795631825	0.178007120284811	0.189807592303692	0.200888035521421	0.189247569902796	0.191167646705868	0.196087843513741	0.165846633865355	0.153566142645706	0.160086403456138	0.135445417816713	0.183927357094284	0.141965678627145	0.169366774670987	k__Bacteria;p__Firmicutes;c__Clostridia;
Verrucomicrobiae	0.0143605744229769	0.0111204448177927	0.000160006400256	0.0065202608104324	0.001240049601984	0.000880035201408	0.000320012800512	0.001320052802112	8.00032001280051e-05	0.0	0.137085483419337	0.077803112124485	0.078403136125445	0.0546421856874275	0.0327613104524181	0.0582023280931237	0.0198807952318093	0.031641265650626	0.0321212848513941	0.000480019200768	0.000360014400576	0.00040001600064	0.000520020800832	0.0023200928037121	0.000640025601024	0.0017600704028161	0.001080043201728	0.000640025601024	0.00080003200128	0.001440057602304	0.0264810592423697	0.000640025601024	0.0052402096083843	0.0137605504220169	0.000160006400256	0.000280011200448	0.000840033601344	0.0026401056042241	0.0028801152046081	0.0361214448577943	0.0400816032641306	0.0647625905036202	0.0226409056362255	0.0181207248289932	0.00040001600064	0.000480019200768	0.000520020800832	0.000440017600704	0.000680027201088	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;
Cyanobacteriia	0.0	0.0	4.00016000640026e-05	0.155446217848714	0.0086803472138885	0.0074002960118404	0.000160006400256	0.0108804352174087	0.000240009600384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;
unidentified_Deferribacteres	0.0297211888475539	0.0091203648145925	0.0040401616064642	0.0136805472218889	0.0442017680707228	0.0138405536221449	0.0072802912116484	0.0138805552222089	0.0192007680307212	0.0019200768030721	0.0126005040201608	0.0343613744549782	0.0766030641225649	0.0018400736029441	0.015960638425537	0.0222808912356494	0.0254410176407056	0.0252410096403856	0.150726029041162	0.0021600864034561	0.0061202448097923	0.0022400896035841	0.0064002560102404	0.0044401776071042	0.0189207568302732	0.0062802512100484	0.0055202208088323	0.0049601984079363	0.0045201808072322	0.0076803072122884	0.0348813952558102	0.0362814512580503	0.0046801872074883	0.0136805472218889	0.0526821072842914	0.0064402576103044	0.0042001680067202	0.0085203408136325	0.0039601584063362	0.0073202928117124	0.0099203968158726	0.0214408576343054	0.0062402496099844	0.0089203568142725	0.0094803792151686	0.0028401136045441	0.001120044801792	0.0023200928037121	0.0055202208088323	k__Bacteria;p__Deferribacteres;c__unidentified_Deferribacteres;
Clostridia_2	0.0344813792551702	0.0121604864194568	0.0042801712068482	0.0058802352094083	0.0434817392695708	0.0121204848193928	0.000240009600384	0.0051202048081923	0.000320012800512	0.0036401456058242	0.0176407056282251	0.0051602064082563	0.0040001600064002	0.0063202528101124	0.0055202208088323	0.015360614424577	0.0410016400656026	0.0354814192567703	0.0803232129285172	0.015560622424897	0.0078003120124805	0.0059202368094723	0.0079203168126725	0.0129605184207368	0.0045601824072962	0.0049201968078723	0.0036401456058242	0.0115204608184327	0.0126005040201608	0.0355614224568983	0.0231209248369935	0.0382815312612505	0.0187207488299532	0.0094403776151046	0.0038001520060802	0.0052402096083843	0.0098403936157446	0.0083203328133125	0.0057602304092163	0.0229209168366735	0.0126805072202888	0.0444817792711708	0.0216008640345614	0.032001280051202	0.0030801232049282	0.0041201648065922	0.0074402976119044	0.0075203008120324	0.0045201808072322	k__Bacteria;p__unidentified_Bacteria;c__Clostridia;
Gammaproteobacteria	0.0113604544181767	0.0239209568382735	0.0080003200128005	0.115004600184007	0.0326813072522901	0.015920636825473	0.0126405056202248	0.0280811232449298	0.0225609024360974	0.0030001200048001	0.0191607664306572	0.0212008480339214	0.0104004160166407	0.0216008640345614	0.015120604824193	0.0357614304572183	0.0259610384415377	0.0241609664386575	0.0099603984159366	0.0040801632065282	0.0074402976119044	0.014920596823873	0.0048001920076803	0.0064402576103044	0.0234409376375055	0.0299211968478739	0.0124004960198408	0.0122004880195208	0.0110404416176647	0.0018400736029441	0.0070402816112644	0.0017600704028161	0.0018400736029441	0.0028001120044801	0.0041601664066562	0.0019600784031361	0.0040001600064002	0.0058802352094083	0.0043201728069122	0.0026801072042881	0.0093603744149766	0.0029601184047361	0.0027201088043521	0.000680027201088	0.000960038401536	0.0015600624024961	0.0134005360214409	0.001440057602304	0.0010000400016	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;
Alphaproteobacteria	0.0	0.0	4.00016000640026e-05	0.111524460978439	0.001480059202368	0.001080043201728	0.0023600944037761	0.0081203248129925	0.000480019200768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00032001280051e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00032001280051e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00032001280051e-05	0.0	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;
unidentified_Firmicutes	0.0387215488619545	0.0197207888315533	0.0172406896275851	0.0063602544101764	0.0142805712228489	0.0120004800192008	0.0060002400096003	0.0133605344213769	0.0107204288171527	0.0058002320092803	0.0175607024280971	0.0108404336173447	0.0068002720108804	0.0276411056442258	0.0245609824392976	0.0131205248209928	0.0126005040201608	0.0108404336173447	0.0168006720268811	0.0071202848113924	0.0120404816192648	0.0129605184207368	0.0142005680227209	0.0165206608264331	0.0120804832193288	0.0091203648145925	0.0077203088123524	0.0092803712148485	0.0144805792231689	0.0056002240089603	0.0136805472218889	0.0054002160086403	0.0046401856074243	0.0063202528101124	0.0040801632065282	0.0070002800112004	0.0103204128165127	0.0084003360134405	0.015640625625025	0.0048401936077443	0.0081603264130565	0.0044401776071042	0.0094403776151046	0.0079203168126725	0.0035201408056322	0.0032001280051202	0.0050002000080003	0.0054402176087043	0.0040801632065282	k__Bacteria;p__Firmicutes;c__unidentified_Firmicutes;
