Taxonomy	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40	Tax_detail
Muribaculaceae	0.276491059642386	0.290451618064723	0.166846673866955	0.0929637185487419	0.161446457858314	0.364494579783191	0.41665666626665	0.449897995919837	0.50070002800112	0.492619704788192	0.339773590943638	0.395895835833433	0.458338333533341	0.432977319092764	0.578943157726309	0.528421136845474	0.535701428057122	0.526541061642466	0.418176727069083	0.217048681947278	0.268730749229969	0.232529301172047	0.2432497299892	0.22476899075963	0.423496939877595	0.424056962278491	0.53818152726109	0.539461578463139	0.46681867274691	0.354694187767511	0.436017440697628	0.285971438857554	0.37197487899516	0.425057002280091	0.28713148525941	0.31101244049762	0.36897475899036	0.446577863114525	0.386615464618585	0.395775831033241	0.512660506420257	0.412736509460378	0.401736069442778	0.518020720828833	0.461138445537822	0.504060162406496	0.497619904796192	0.62022480899236	0.441377655106204	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;
Bacteroidaceae	0.270730829233169	0.213448537941518	0.406616264650586	0.0514420576823073	0.391295651826073	0.18888755550222	0.171166846673867	0.159846393855754	0.126565062602504	0.22596903876155	0.208688347533901	0.154486179447178	0.0686027441097644	0.0803632145285811	0.0740429617184687	0.015400616024641	0.0226009040361614	0.0282411296451858	0.0246409856394256	0.375335013400536	0.205648225929037	0.325653026121045	0.366254650186007	0.430257210288412	0.10164406576263	0.109884395375815	0.169846793871755	0.0992039681587263	0.138165526621065	0.192167686707468	0.102844113764551	0.116684667386695	0.205808232329293	0.206168246729869	0.162966518660746	0.136165446617865	0.226009040361614	0.159486379455178	0.127365094603784	0.12992519700788	0.0682427297091884	0.125565022600904	0.112204488179527	0.0733629345173807	0.106804272170887	0.0970838833553342	0.148125925037001	0.100564022560902	0.221608864354574	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;
Lachnospiraceae	0.111964478579143	0.094363774550982	0.183407336293452	0.0500820032801312	0.0129205168206728	0.134445377815113	0.155446217848714	0.0906036241449658	0.127845113804552	0.09444377775111	0.0396415856634265	0.0963238529541182	0.119044761790472	0.119844793791752	0.0520020800832033	0.145485819432777	0.158166326653066	0.162766510660426	0.0886435457418297	0.130845233809352	0.176207048281931	0.150486019440778	0.15260610424417	0.0863234529381175	0.126885075403016	0.144925797031881	0.079163166526661	0.120004800192008	0.0990839633585343	0.252370094803792	0.165446617864715	0.375415016600664	0.21556862274491	0.109604384175367	0.229249169966799	0.222408896355854	0.139885595423817	0.171646865874635	0.171926877075083	0.161886475459018	0.164846593863755	0.159766390655626	0.139045561822473	0.135125405016201	0.155286211448458	0.122684907396296	0.171126845073803	0.133845353814153	0.153886155446218	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;
Lactobacillaceae	0.0682027281091244	0.0678827153086123	0.0028801152046081	0.0707228289131565	0.0668826753070123	0.0522420896835873	0.0144805792231689	0.0030401216048641	0.0024000960038401	0.015920636825473	0.0028401136045441	0.0045601824072962	0.0056402256090243	0.001160046401856	0.0041601664066562	0.0113604544181767	0.0173606944277771	0.0245609824392976	0.0179207168286731	0.141285651426057	0.152766110644426	0.110844433777351	0.046481859274371	0.0538021520860834	0.0892835713428537	0.0860434417376695	0.0059202368094723	0.0559222368894756	0.0638425537021481	0.0504020160806432	0.0228009120364815	0.0042001680067202	0.0359214368574743	0.0558422336893476	0.0220808832353294	0.0076003040121604	0.0054802192087683	0.0195607824312973	0.0690427617104684	0.15520620824833	0.0297611904476179	0.0550422016880675	0.199247969918797	0.112364494579783	0.142165686627465	0.165806632265291	0.0047601904076163	0.0392415696627865	0.0269210768430737	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;
Erysipelotrichaceae	0.0327213088523541	0.107804312172487	0.0332013280531221	0.0244809792391696	0.0672826913076523	0.0576823072922917	0.0288011520460818	0.0764030561222449	0.0378015120604824	0.0387215488619545	0.0486419456778271	0.0456418256730269	0.0568422736909476	0.0454018160726429	0.0260810432417297	0.0958038321532861	0.0518020720828833	0.0497219888795552	0.0172806912276491	0.0142005680227209	0.0302412096483859	0.0122004880195208	0.0245209808392336	0.0166406656266251	0.0412016480659226	0.0110004400176007	0.0698027921116845	0.0192407696307852	0.0214808592343694	0.0148405936237449	0.046361854474179	0.0102804112164487	0.0120804832193288	0.0581223248929957	0.0535621424856994	0.0120004800192008	0.0259610384415377	0.0266010640425617	0.014960598423937	0.0131605264210568	0.0502420096803872	0.0219208768350734	0.0129605184207368	0.0252010080403216	0.0082803312132485	0.0134805392215689	0.0232409296371855	0.0078003120124805	0.0303212128485139	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;
Akkermansiaceae	0.0143605744229769	0.0111204448177927	0.000160006400256	0.0061602464098563	0.000960038401536	0.000480019200768	0.000320012800512	0.000280011200448	4.00016000640026e-05	0.0	0.137085483419337	0.077803112124485	0.078403136125445	0.0546421856874275	0.0327613104524181	0.0582023280931237	0.0198807952318093	0.031641265650626	0.0321212848513941	0.000480019200768	0.000360014400576	0.00040001600064	0.000520020800832	0.0023200928037121	0.000640025601024	0.0017600704028161	0.001080043201728	0.000640025601024	0.00080003200128	0.001440057602304	0.0264810592423697	0.000640025601024	0.0052402096083843	0.0137605504220169	0.000160006400256	0.000280011200448	0.000840033601344	0.0026401056042241	0.0028801152046081	0.0361214448577943	0.0400816032641306	0.0647625905036202	0.0226409056362255	0.0181207248289932	0.00040001600064	0.000480019200768	0.000520020800832	0.000440017600704	0.000680027201088	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;
Rikenellaceae	0.0396415856634265	0.0687627505100204	0.12532501300052	0.0391215648625945	0.0548021920876835	0.109724388975559	0.133405336213449	0.0702828113124525	0.112364494579783	0.0986039441577663	0.110844433777351	0.138805552222089	0.0573622944917797	0.15720628825153	0.141765670626825	0.0227609104364175	0.0513620544821793	0.0486419456778271	0.0645225809032361	0.0702828113124525	0.06276251050042	0.0749629985199408	0.0909636385455418	0.0457218288731549	0.141725669026761	0.109644385775431	0.0772030881235249	0.0885635425417017	0.106284251370055	0.046321852874115	0.0378415136605464	0.0524820992839714	0.0841633665346614	0.0591623664946598	0.128365134605384	0.168046721868875	0.116684667386695	0.0948437937517501	0.119044761790472	0.0243609744389776	0.0497619904796192	0.0259610384415377	0.0234409376375055	0.0235209408376335	0.0664826593063723	0.0495219808792352	0.093003720148806	0.0506020240809632	0.0718828753150126	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;
Deferribacteraceae	0.0297211888475539	0.0091203648145925	0.0040401616064642	0.0136805472218889	0.0442017680707228	0.0138405536221449	0.0072802912116484	0.0138805552222089	0.0192007680307212	0.0019200768030721	0.0126005040201608	0.0343613744549782	0.0766030641225649	0.0018400736029441	0.015960638425537	0.0222808912356494	0.0254410176407056	0.0252410096403856	0.150726029041162	0.0021600864034561	0.0061202448097923	0.0022400896035841	0.0064002560102404	0.0044401776071042	0.0189207568302732	0.0062802512100484	0.0055202208088323	0.0049601984079363	0.0045201808072322	0.0076803072122884	0.0348813952558102	0.0362814512580503	0.0046801872074883	0.0136805472218889	0.0526821072842914	0.0064402576103044	0.0042001680067202	0.0085203408136325	0.0039601584063362	0.0073202928117124	0.0099203968158726	0.0214408576343054	0.0062402496099844	0.0089203568142725	0.0094803792151686	0.0028401136045441	0.001120044801792	0.0023200928037121	0.0055202208088323	k__Bacteria;p__Deferribacteres;c__unidentified_Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;
unidentified_Chloroplast	0.0	0.0	4.00016000640026e-05	0.129245169806792	0.0079203168126725	0.0069202768110724	0.000160006400256	0.0078403136125445	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__unidentified_Chloroplast;
Lachnospiraceae_2	0.0145605824232969	0.0044801792071682	8.00032001280051e-05	0.000520020800832	0.0010000400016	8.00032001280051e-05	0.0	0.001040041601664	0.0	0.0	0.000840033601344	0.000320012800512	0.0022000880035201	0.000480019200768	0.000720028801152	0.0040001600064002	0.0076403056122244	0.0054402176087043	0.0238409536381455	0.00060002400096	0.0016000640025601	0.000680027201088	0.0018800752030081	0.001280051202048	0.00080003200128	0.001280051202048	0.001040041601664	0.0018000720028801	0.0061602464098563	0.0020800832033281	0.0091603664146565	0.000720028801152	0.001320052802112	0.0022800912036481	0.000520020800832	0.000240009600384	0.0018400736029441	0.0031201248049922	0.001360054402176	0.0022800912036481	0.0032001280051202	0.0065202608104324	0.0032401296051842	0.0176807072282891	0.000440017600704	0.0018400736029441	0.0038001520060802	0.0020000800032001	0.0021200848033921	k__Bacteria;p__unidentified_Bacteria;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;
