Taxonomy	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40	Tax_detail
Bacteroides	0.270730829233169	0.213448537941518	0.406616264650586	0.0514420576823073	0.391295651826073	0.18888755550222	0.171166846673867	0.159846393855754	0.126565062602504	0.22596903876155	0.208688347533901	0.154486179447178	0.0686027441097644	0.0803632145285811	0.0740429617184687	0.015400616024641	0.0226009040361614	0.0282411296451858	0.0246409856394256	0.375335013400536	0.205648225929037	0.325653026121045	0.366254650186007	0.430257210288412	0.10164406576263	0.109884395375815	0.169846793871755	0.0992039681587263	0.138165526621065	0.192167686707468	0.102844113764551	0.116684667386695	0.205808232329293	0.206168246729869	0.162966518660746	0.136165446617865	0.226009040361614	0.159486379455178	0.127365094603784	0.12992519700788	0.0682427297091884	0.125565022600904	0.112204488179527	0.0733629345173807	0.106804272170887	0.0970838833553342	0.148125925037001	0.100564022560902	0.221608864354574	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;
Lactobacillus	0.0567622704908196	0.0173606944277771	0.000360014400576	0.0422016880675227	0.0444417776711068	0.000360014400576	0.0017200688027521	0.000880035201408	0.000440017600704	0.000240009600384	0.001080043201728	0.0015200608024321	0.0020800832033281	4.00016000640026e-05	0.0010000400016	0.0070402816112644	0.0112404496179847	0.0168006720268811	0.0105604224168967	0.0980039201568063	0.0663226529061162	0.0504420176807072	0.0071602864114564	0.0420416816672667	0.0062002480099204	0.0121204848193928	0.000640025601024	0.0073202928117124	0.0018800752030081	0.0323212928517141	0.0050402016080643	0.0019600784031361	0.0269610784431377	0.0375615024600984	0.0077603104124165	0.0051202048081923	0.0026801072042881	0.0117204688187528	0.0033201328053122	0.115684627385095	0.0123204928197128	0.047481899275971	0.113724548981959	0.0923636945477819	0.00040001600064	0.0019600784031361	0.000360014400576	0.000280011200448	0.0021600864034561	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;
Faecalibaculum	0.0327213088523541	0.107764310572423	0.0332013280531221	0.0206808272330893	0.0671226849073963	0.0576823072922917	0.0288011520460818	0.0764030561222449	0.0378015120604824	0.0387215488619545	0.0486419456778271	0.0456418256730269	0.0568422736909476	0.0454018160726429	0.0260810432417297	0.0958038321532861	0.0518020720828833	0.0497219888795552	0.0172806912276491	0.0142005680227209	0.0302412096483859	0.0122004880195208	0.0245209808392336	0.0166406656266251	0.0411216448657946	0.0110004400176007	0.0697627905116205	0.0192407696307852	0.0214408576343054	0.0148405936237449	0.046321852874115	0.0102804112164487	0.0120804832193288	0.0581223248929957	0.0535621424856994	0.0120004800192008	0.0259610384415377	0.0266010640425617	0.014960598423937	0.0131605264210568	0.0502420096803872	0.0219208768350734	0.0129605184207368	0.0252010080403216	0.0082403296131845	0.0134805392215689	0.0232409296371855	0.0078003120124805	0.0303212128485139	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;
Akkermansia	0.0143605744229769	0.0111204448177927	0.000160006400256	0.0061602464098563	0.000960038401536	0.000480019200768	0.000320012800512	0.000280011200448	4.00016000640026e-05	0.0	0.137085483419337	0.077803112124485	0.078403136125445	0.0546421856874275	0.0327613104524181	0.0582023280931237	0.0198807952318093	0.031641265650626	0.0321212848513941	0.000480019200768	0.000360014400576	0.00040001600064	0.000520020800832	0.0023200928037121	0.000640025601024	0.0017600704028161	0.001080043201728	0.000640025601024	0.00080003200128	0.001440057602304	0.0264810592423697	0.000640025601024	0.0052402096083843	0.0137605504220169	0.000160006400256	0.000280011200448	0.000840033601344	0.0026401056042241	0.0028801152046081	0.0361214448577943	0.0400816032641306	0.0647625905036202	0.0226409056362255	0.0181207248289932	0.00040001600064	0.000480019200768	0.000520020800832	0.000440017600704	0.000680027201088	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;
Limosilactobacillus	0.0111204448177927	0.0502420096803872	0.0024800992039681	0.015520620824833	0.0221208848353934	0.0518420736829473	0.0126005040201608	0.0020400816032641	0.0018000720028801	0.015680627225089	0.001160046401856	0.0022400896035841	0.0019200768030721	0.000920036801472	0.0023200928037121	0.0041201648065922	0.0058402336093443	0.0075203008120324	0.0072802912116484	0.0431217248689948	0.0861234449377975	0.0600024000960038	0.0391215648625945	0.0116404656186247	0.0827633105324213	0.0736029441177647	0.0050002000080003	0.0484019360774431	0.0617224688987559	0.0179607184287372	0.0176407056282251	0.0021600864034561	0.0089203568142725	0.0181607264290572	0.0140405616224649	0.0024400976039041	0.0027201088043521	0.0077203088123524	0.0654826193047722	0.0393615744629785	0.0174006960278411	0.0074402976119044	0.0852034081363255	0.0198807952318093	0.141205648225929	0.16340653626145	0.0042801712068482	0.0389615584623385	0.0245609824392976	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;
Lachnospiraceae_NK4A136_group	0.06176247049882	0.0295611824472979	0.0044801792071682	0.0178007120284811	0.0034401376055042	0.061922476899076	0.0869234769390776	0.0376415056602264	0.0518020720828833	0.0010000400016	0.0227209088363535	0.0235609424376975	0.093883755350214	0.0058402336093443	0.0164006560262411	0.0560022400896036	0.116764670586823	0.120804832193288	0.0674026961078443	0.0693627745109804	0.0491619664786591	0.0482419296771871	0.0596423856954278	0.0080403216128645	0.0636825473018921	0.0719628785151406	0.0252010080403216	0.0543621744869795	0.0263210528421137	0.122044881795272	0.0483619344773791	0.108364334573383	0.0503220128805152	0.0336013440537622	0.143685747429897	0.161526461058442	0.0699227969118765	0.0896835873434937	0.0993239729589184	0.0500020000800032	0.0333213328533141	0.046601864074563	0.0341213648545942	0.0340013600544022	0.116604664186567	0.0654026161046442	0.108324332973319	0.0849633985359414	0.104244169766791	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group;
Rikenellaceae_RC9_gut_group	0.0196407856314253	0.047281891275651	0.0555622224888996	0.0303612144485779	0.0523220928837154	0.0944837793511741	0.111724468978759	0.0556822272890916	0.106124244969799	0.0672826913076523	0.106764270570823	0.133685347413897	0.0550422016880675	0.154486179447178	0.137685507420297	0.0041601664066562	0.0071202848113924	0.0038001520060802	0.0099603984159366	0.0146805872234889	0.0299611984479379	0.0290811632465299	0.0334413376535061	0.0376015040601624	0.111004440177607	0.0950038001520061	0.0650826033041322	0.0669226769070763	0.0878035121404856	0.0109204368174727	0.0166006640265611	0.0131605264210568	0.0351614064562583	0.0092003680147205	0.102444097763911	0.145005800232009	0.0918436737469499	0.077403096123845	0.094363774550982	0.0070402816112644	0.0122004880195208	0.0044401776071042	0.0043601744069762	0.0122404896195848	0.0597223888955558	0.0448017920716829	0.0805632225289012	0.0436017440697628	0.0580823232929317	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;
Mucispirillum	0.0297211888475539	0.0091203648145925	0.0040401616064642	0.0136805472218889	0.0442017680707228	0.0138405536221449	0.0072802912116484	0.0138805552222089	0.0192007680307212	0.0019200768030721	0.0126005040201608	0.0343613744549782	0.0766030641225649	0.0018400736029441	0.015960638425537	0.0222808912356494	0.0254410176407056	0.0252410096403856	0.150726029041162	0.0021600864034561	0.0061202448097923	0.0022400896035841	0.0064002560102404	0.0044401776071042	0.0189207568302732	0.0062802512100484	0.0055202208088323	0.0049601984079363	0.0045201808072322	0.0076803072122884	0.0348813952558102	0.0362814512580503	0.0046801872074883	0.0136805472218889	0.0526821072842914	0.0064402576103044	0.0042001680067202	0.0085203408136325	0.0039601584063362	0.0073202928117124	0.0099203968158726	0.0214408576343054	0.0062402496099844	0.0089203568142725	0.0094803792151686	0.0028401136045441	0.001120044801792	0.0023200928037121	0.0055202208088323	k__Bacteria;p__Deferribacteres;c__unidentified_Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum;
GCA-900066575	0.0	0.0	0.132805312212489	0.0025201008040321	0.000960038401536	0.000240009600384	0.000440017600704	0.001320052802112	0.000240009600384	4.00016000640026e-05	0.0022000880035201	0.0	0.0	0.0	0.001240049601984	0.001240049601984	0.000920036801472	0.0010000400016	0.001240049601984	0.0113604544181767	0.030921236849474	0.0379615184607384	0.0451618064722589	0.0420016800672027	0.001320052802112	0.0034001360054402	0.0017200688027521	0.0074002960118404	0.0039201568062722	0.0173606944277771	0.0121204848193928	0.0399615984639386	0.0252010080403216	0.0068002720108804	0.0016800672026881	0.0023200928037121	0.0050802032081283	0.000640025601024	0.0018000720028801	0.0088403536141445	0.0343613744549782	0.0240809632385295	0.0131205248209928	0.015640625625025	0.000120004800192	0.00020000800032	0.000760030401216	8.00032001280051e-05	0.000480019200768	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575;
unidentified_Chloroplast	0.0	0.0	4.00016000640026e-05	0.129245169806792	0.0079203168126725	0.0069202768110724	0.000160006400256	0.0078403136125445	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__unidentified_Chloroplast;g__unidentified_Chloroplast;
