Taxonomy	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40	Tax_detail
Bacteroidales	0.586903476139045	0.572662906516261	0.698787951518061	0.192207688307532	0.611664466578663	0.663106524260971	0.721228849153966	0.681147245889835	0.739789591583663	0.817192687707508	0.65930637225489	0.6891875675027	0.584383375335013	0.670546821872875	0.794751790071603	0.566582663306533	0.609664386575463	0.603424136965479	0.507340293611745	0.662666506660267	0.537141485659427	0.633145325813033	0.700468018720749	0.700748029921197	0.666866674666987	0.643585743429737	0.78523140925637	0.727229089163567	0.711348453938158	0.593183727349094	0.576703068122725	0.455138205528221	0.661946477859115	0.69038761550462	0.578463138525541	0.615224608984359	0.711668466738669	0.700908036321453	0.633025321012841	0.550062002480099	0.630665226609065	0.56426257050282	0.53738149525981	0.614904596183847	0.634425377015081	0.650666026641066	0.738749549981999	0.771390855634225	0.734869394775791	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;
Lachnospirales	0.111964478579143	0.094363774550982	0.183407336293452	0.0500820032801312	0.0129205168206728	0.134445377815113	0.155446217848714	0.0906036241449658	0.127845113804552	0.09444377775111	0.0396415856634265	0.0963238529541182	0.119044761790472	0.119844793791752	0.0520020800832033	0.145485819432777	0.158166326653066	0.162766510660426	0.0886435457418297	0.130845233809352	0.176207048281931	0.150486019440778	0.15260610424417	0.0863234529381175	0.126885075403016	0.144925797031881	0.079163166526661	0.120004800192008	0.0990839633585343	0.252370094803792	0.165446617864715	0.375415016600664	0.21556862274491	0.109604384175367	0.229249169966799	0.222408896355854	0.139885595423817	0.171646865874635	0.171926877075083	0.161886475459018	0.164846593863755	0.159766390655626	0.139045561822473	0.135125405016201	0.155286211448458	0.122684907396296	0.171126845073803	0.133845353814153	0.153886155446218	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;
Lactobacillales	0.0682427297091884	0.0678827153086123	0.0028801152046081	0.0744029761190448	0.0670026801072043	0.0522420896835873	0.0144805792231689	0.0030801232049282	0.0025601024040961	0.015920636825473	0.0028401136045441	0.0045601824072962	0.0056402256090243	0.001160046401856	0.0041601664066562	0.0113604544181767	0.0173606944277771	0.0245609824392976	0.0179607184287372	0.141285651426057	0.152766110644426	0.110844433777351	0.046481859274371	0.0538021520860834	0.0892835713428537	0.0860434417376695	0.0059202368094723	0.0559222368894756	0.0638425537021481	0.0504020160806432	0.0228009120364815	0.0042001680067202	0.0359214368574743	0.0558422336893476	0.0220808832353294	0.0076003040121604	0.0054802192087683	0.0195607824312973	0.0690427617104684	0.15520620824833	0.0297611904476179	0.0550422016880675	0.199247969918797	0.112364494579783	0.142165686627465	0.165806632265291	0.0047601904076163	0.0392415696627865	0.0269210768430737	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;
Erysipelotrichales	0.0332813312532501	0.108124324972999	0.0332013280531221	0.0252010080403216	0.0675627025081003	0.0576823072922917	0.0288011520460818	0.0764030561222449	0.0378015120604824	0.0387215488619545	0.0486419456778271	0.0456418256730269	0.0568422736909476	0.0454018160726429	0.0260810432417297	0.0958838353534141	0.0521620864834593	0.0498819952798112	0.0174406976279051	0.0143205728229129	0.0303212128485139	0.0123204928197128	0.0245209808392336	0.0166406656266251	0.0412016480659226	0.0110004400176007	0.0698027921116845	0.0192407696307852	0.0214808592343694	0.014880595223809	0.046441857674307	0.0103604144165767	0.0122404896195848	0.0582023280931237	0.0536021440857634	0.0120804832193288	0.0260010400416017	0.0269610784431377	0.015080603224129	0.0131605264210568	0.0502420096803872	0.0220008800352014	0.0135205408216329	0.0252010080403216	0.0082803312132485	0.0134805392215689	0.0232409296371855	0.0078003120124805	0.0303212128485139	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;
Verrucomicrobiales	0.0143605744229769	0.0111204448177927	0.000160006400256	0.0063202528101124	0.001120044801792	0.000720028801152	0.000320012800512	0.000680027201088	8.00032001280051e-05	0.0	0.137085483419337	0.077803112124485	0.078403136125445	0.0546421856874275	0.0327613104524181	0.0582023280931237	0.0198807952318093	0.031641265650626	0.0321212848513941	0.000480019200768	0.000360014400576	0.00040001600064	0.000520020800832	0.0023200928037121	0.000640025601024	0.0017600704028161	0.001080043201728	0.000640025601024	0.00080003200128	0.001440057602304	0.0264810592423697	0.000640025601024	0.0052402096083843	0.0137605504220169	0.000160006400256	0.000280011200448	0.000840033601344	0.0026401056042241	0.0028801152046081	0.0361214448577943	0.0400816032641306	0.0647625905036202	0.0226409056362255	0.0181207248289932	0.00040001600064	0.000480019200768	0.000520020800832	0.000440017600704	0.000680027201088	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;
Deferribacterales	0.0297211888475539	0.0091203648145925	0.0040401616064642	0.0136805472218889	0.0442017680707228	0.0138405536221449	0.0072802912116484	0.0138805552222089	0.0192007680307212	0.0019200768030721	0.0126005040201608	0.0343613744549782	0.0766030641225649	0.0018400736029441	0.015960638425537	0.0222808912356494	0.0254410176407056	0.0252410096403856	0.150726029041162	0.0021600864034561	0.0061202448097923	0.0022400896035841	0.0064002560102404	0.0044401776071042	0.0189207568302732	0.0062802512100484	0.0055202208088323	0.0049601984079363	0.0045201808072322	0.0076803072122884	0.0348813952558102	0.0362814512580503	0.0046801872074883	0.0136805472218889	0.0526821072842914	0.0064402576103044	0.0042001680067202	0.0085203408136325	0.0039601584063362	0.0073202928117124	0.0099203968158726	0.0214408576343054	0.0062402496099844	0.0089203568142725	0.0094803792151686	0.0028401136045441	0.001120044801792	0.0023200928037121	0.0055202208088323	k__Bacteria;p__Deferribacteres;c__unidentified_Deferribacteres;o__Deferribacterales;
Chloroplast	0.0	0.0	4.00016000640026e-05	0.129285171406856	0.0080003200128005	0.0073602944117764	0.000160006400256	0.0078803152126085	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;
Lachnospirales_2	0.0145605824232969	0.0044801792071682	8.00032001280051e-05	0.000520020800832	0.0010000400016	8.00032001280051e-05	0.0	0.001040041601664	0.0	0.0	0.000840033601344	0.000320012800512	0.0022000880035201	0.000480019200768	0.000720028801152	0.0040001600064002	0.0076403056122244	0.0054402176087043	0.0238409536381455	0.00060002400096	0.0016000640025601	0.000680027201088	0.0018800752030081	0.001280051202048	0.00080003200128	0.001280051202048	0.001040041601664	0.0018000720028801	0.0061602464098563	0.0020800832033281	0.0091603664146565	0.000720028801152	0.001320052802112	0.0022800912036481	0.000520020800832	0.000240009600384	0.0018400736029441	0.0031201248049922	0.001360054402176	0.0022800912036481	0.0032001280051202	0.0065202608104324	0.0032401296051842	0.0176807072282891	0.000440017600704	0.0018400736029441	0.0038001520060802	0.0020000800032001	0.0021200848033921	k__Bacteria;p__unidentified_Bacteria;c__Clostridia;o__Lachnospirales;
Sphingomonadales	0.0	0.0	4.00016000640026e-05	0.09364374574983	0.000520020800832	0.00080003200128	4.00016000640026e-05	0.0025201008040321	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;
Oscillospirales	0.0319612784511381	0.0243209728389136	0.0194407776311052	0.0607224288971559	0.0498419936797472	0.0049201968078723	0.0192007680307212	0.0170006800272011	0.0032401296051842	0.0043601744069762	0.0350814032561302	0.0061202448097923	0.015600624024961	0.0341213648545942	0.015400616024641	0.0121604864194568	0.0123204928197128	0.0099203968158726	0.0441217648705948	0.0118404736189448	0.0366014640585624	0.0286411456458258	0.0214008560342414	0.0844033761350454	0.0098403936157446	0.0226809072362895	0.0120004800192008	0.0142405696227849	0.015400616024641	0.0124404976199048	0.0219608784351374	0.0240409616384655	0.0182007280291212	0.0100004000160006	0.0110804432177287	0.0359614384575383	0.0284811392455698	0.0137605504220169	0.0206008240329613	0.016280651226049	0.016360654426177	0.0266810672426897	0.0175607024280971	0.015480619224769	0.0043201728069122	0.0118004720188808	0.0115204608184327	0.0066402656106244	0.0140405616224649	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;
