Taxonomy	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40	Tax_detail
Bacteroides_caecimuris	0.182127285091404	0.162046481859274	0.203368134725389	0.0419216768670747	0.345573822952918	0.136605464218569	0.113044521780871	0.0805232209288372	0.0540421616864675	0.187367494699788	0.0104004160166407	0.0039201568062722	0.0146805872234889	0.0038001520060802	0.0050002000080003	0.0136405456218249	0.0192007680307212	0.0220808832353294	0.0201208048321933	0.172606904276171	0.112524500980039	0.0945637825513021	0.0554022160886435	0.273370934837393	0.0602824112964519	0.0572822912916517	0.0876435057402296	0.0382815312612505	0.0681627265090604	0.062082483299332	0.0408416336653466	0.0509220368814753	0.0710028401136045	0.120644825793032	0.0727229089163567	0.0837233489339574	0.119444777791112	0.0977239089563583	0.0848433937357494	0.0815632625305012	0.0390015600624025	0.0534021360854434	0.0828833153326133	0.0401616064642586	0.0483619344773791	0.0378815152606104	0.0324812992519701	0.0355214208568343	0.139165566622665	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_caecimuris;
Akkermansia_muciniphila	0.0143605744229769	0.0111204448177927	0.000160006400256	0.0061602464098563	0.000960038401536	0.000480019200768	0.000320012800512	0.000280011200448	4.00016000640026e-05	0.0	0.137085483419337	0.077803112124485	0.078403136125445	0.0546421856874275	0.0327613104524181	0.0582023280931237	0.0198807952318093	0.031641265650626	0.0321212848513941	0.000480019200768	0.000360014400576	0.00040001600064	0.000520020800832	0.0023200928037121	0.000640025601024	0.0017600704028161	0.001080043201728	0.000640025601024	0.00080003200128	0.001440057602304	0.0264810592423697	0.000640025601024	0.0052402096083843	0.0137605504220169	0.000160006400256	0.000280011200448	0.000840033601344	0.0026401056042241	0.0028801152046081	0.0361214448577943	0.0400816032641306	0.0647625905036202	0.0226409056362255	0.0181207248289932	0.00040001600064	0.000480019200768	0.000520020800832	0.000440017600704	0.000680027201088	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila;
Lactobacillus_reuteri	0.0111204448177927	0.0502420096803872	0.0024800992039681	0.015520620824833	0.0221208848353934	0.0518420736829473	0.0126005040201608	0.0020400816032641	0.0018000720028801	0.015680627225089	0.001160046401856	0.0022400896035841	0.0019200768030721	0.000920036801472	0.0023200928037121	0.0041201648065922	0.0058402336093443	0.0075203008120324	0.0072802912116484	0.0431217248689948	0.0861234449377975	0.0600024000960038	0.0391215648625945	0.0116404656186247	0.0827633105324213	0.0736029441177647	0.0050002000080003	0.0484019360774431	0.0617224688987559	0.0179607184287372	0.0176407056282251	0.0021600864034561	0.0089203568142725	0.0181607264290572	0.0140405616224649	0.0024400976039041	0.0027201088043521	0.0077203088123524	0.0654826193047722	0.0393615744629785	0.0174006960278411	0.0074402976119044	0.0852034081363255	0.0198807952318093	0.141205648225929	0.16340653626145	0.0042801712068482	0.0389615584623385	0.0245609824392976	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Lactobacillus_reuteri;
Mucispirillum_schaedleri	0.0297211888475539	0.0091203648145925	0.0040401616064642	0.0136805472218889	0.0442017680707228	0.0138405536221449	0.0072802912116484	0.0138805552222089	0.0192007680307212	0.0019200768030721	0.0126005040201608	0.0343613744549782	0.0766030641225649	0.0018400736029441	0.015960638425537	0.0222808912356494	0.0254410176407056	0.0252410096403856	0.150726029041162	0.0021600864034561	0.0061202448097923	0.0022400896035841	0.0064002560102404	0.0044401776071042	0.0189207568302732	0.0062802512100484	0.0055202208088323	0.0049601984079363	0.0045201808072322	0.0076803072122884	0.0348813952558102	0.0362814512580503	0.0046801872074883	0.0136805472218889	0.0526821072842914	0.0064402576103044	0.0042001680067202	0.0085203408136325	0.0039601584063362	0.0073202928117124	0.0099203968158726	0.0214408576343054	0.0062402496099844	0.0089203568142725	0.0094803792151686	0.0028401136045441	0.001120044801792	0.0023200928037121	0.0055202208088323	k__Bacteria;p__Deferribacteres;c__unidentified_Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum;s__Mucispirillum_schaedleri;
Lachnospiraceae_bacterium_28-4	0.0020800832033281	0.0052802112084483	8.00032001280051e-05	0.000560022400896	0.000240009600384	8.00032001280051e-05	0.000120004800192	0.000360014400576	8.00032001280051e-05	0.0	0.000440017600704	0.0	4.00016000640026e-05	0.0	0.0	0.0743229729189168	0.0192007680307212	0.0202408096323853	0.0035601424056962	0.000760030401216	0.000880035201408	0.000640025601024	8.00032001280051e-05	0.000760030401216	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.00020000800032	0.000520020800832	0.000840033601344	0.000520020800832	0.000520020800832	0.00060002400096	0.000360014400576	0.000320012800512	0.00080003200128	0.000560022400896	0.000240009600384	0.0030001200048001	0.000320012800512	0.000960038401536	0.0124804992199688	0.000440017600704	0.001040041601664	0.0040001600064002	8.00032001280051e-05	0.000160006400256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Lachnospiraceae_bacterium_28-4;
Lachnospiraceae_bacterium_615	0.0	0.0	0.0444817792711708	0.001080043201728	0.000320012800512	8.00032001280051e-05	0.000120004800192	0.00040001600064	0.000120004800192	0.000120004800192	0.000520020800832	0.0	0.0	0.0	8.00032001280051e-05	0.000160006400256	0.000760030401216	0.000480019200768	0.0	0.0015600624024961	0.0020800832033281	0.0267210688427537	0.0068802752110084	0.0148005920236809	0.000280011200448	0.000920036801472	0.00040001600064	0.001240049601984	0.0015600624024961	0.0025601024040961	0.015720628825153	0.0105204208168327	0.03148125925037	0.0175207008280331	0.000520020800832	0.00140005600224	0.001160046401856	0.000480019200768	0.001040041601664	0.0138805552222089	0.0238409536381455	0.0096403856154246	0.0129605184207368	0.0262010480419217	0.00020000800032	0.00020000800032	0.00020000800032	8.00032001280051e-05	0.000480019200768	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Lachnospiraceae_bacterium_615;
Escherichia_coli	0.0113604544181767	0.0239209568382735	0.0079203168126725	0.016080643225729	0.0304412176487059	0.0146405856234249	0.0100804032161286	0.0176407056282251	0.0178407136285451	0.0030001200048001	0.0191607664306572	0.0212008480339214	0.0101604064162567	0.0214808592343694	0.015120604824193	0.0357614304572183	0.0259610384415377	0.0241609664386575	0.0098403936157446	0.0040801632065282	0.0074002960118404	0.014920596823873	0.0048001920076803	0.0064402576103044	0.0234409376375055	0.0299211968478739	0.0124004960198408	0.0121604864194568	0.0110404416176647	0.0018000720028801	0.0070402816112644	0.0017600704028161	0.0017600704028161	0.0028001120044801	0.0041601664066562	0.0019600784031361	0.0040001600064002	0.0028001120044801	0.0021200848033921	0.0026401056042241	0.0093603744149766	0.0029601184047361	0.0027201088043521	0.000680027201088	0.000960038401536	0.0015600624024961	0.0096403856154246	0.001440057602304	0.0010000400016	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__Escherichia_coli;
Vibrio_gigantis	0.0	0.0	0.0	0.0322812912516501	4.00016000640026e-05	0.0	4.00016000640026e-05	0.000160006400256	0.0	0.0	0.0	0.0	0.000160006400256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio_gigantis;
cyanobacterium_enrichment_culture_clone_CAWBG81	0.0	0.0	0.0	0.0202808112324493	0.0030801232049282	0.0	0.0	0.000360014400576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__unidentified_Bacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__unidentified_Leptolyngbyaceae;s__cyanobacterium_enrichment_culture_clone_CAWBG81;
Lactobacillus_amylovorus	0.0	0.0	0.0	0.0165606624264971	0.0	4.00016000640026e-05	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_amylovorus;
