sample_b,sample_a,distance,timepoint_a,mouse_id_a,timepoint_b,mouse_id_b,timepoint_pair
D5M31,D4M31,0.5758630345213809,D4,M31,D5,M31,D4-D5
D5M32,D4M32,0.5879835193407736,D4,M32,D5,M32,D4-D5
D5M33,D4M33,0.6760270410816432,D4,M33,D5,M33,D4-D5
D5M34,D4M34,0.8093923756950278,D4,M34,D5,M34,D4-D5
D5M35,D4M35,0.6678267130685227,D4,M35,D5,M35,D4-D5
D5M37,D4M37,0.6556662266490659,D4,M37,D5,M37,D4-D5
D5M38,D4M38,0.6019440777631105,D4,M38,D5,M38,D4-D5
D5M39,D4M39,0.6049441977679108,D4,M39,D5,M39,D4-D5
D5M40,D4M40,0.6196247849913996,D4,M40,D5,M40,D4-D5
D6M31,D5M31,0.5891035641425657,D5,M31,D6,M31,D5-D6
D9M31,D5M31,0.6277851114044561,D5,M31,D9,M31,D5-D9
D12M31,D5M31,0.6829473178927157,D5,M31,D12,M31,D5-D12
D6M32,D5M32,0.640585623424937,D5,M32,D6,M32,D5-D6
D9M32,D5M32,0.5605824232969319,D5,M32,D9,M32,D5-D9
D12M32,D5M32,0.6926677067082684,D5,M32,D12,M32,D5-D12
D6M33,D5M33,0.6864274570982839,D5,M33,D6,M33,D5-D6
D9M33,D5M33,0.6049841993679748,D5,M33,D9,M33,D5-D9
D12M33,D5M33,0.5886235449417977,D5,M33,D12,M33,D5-D12
D6M34,D5M34,0.6471458858354334,D5,M34,D6,M34,D5-D6
D9M34,D5M34,0.6917076683067322,D5,M34,D9,M34,D5-D9
D12M34,D5M34,0.7583903356134245,D5,M34,D12,M34,D5-D12
D6M35,D5M35,0.6286251450058002,D5,M35,D6,M35,D5-D6
D9M35,D5M35,0.5577823112924517,D5,M35,D9,M35,D5-D9
D12M35,D5M35,0.6575463018520741,D5,M35,D12,M35,D5-D12
D6M37,D5M37,0.5675027001080043,D5,M37,D6,M37,D5-D6
D9M37,D5M37,0.7272290891635665,D5,M37,D9,M37,D5-D9
D12M37,D5M37,0.671946877875115,D5,M37,D12,M37,D5-D12
D6M38,D5M38,0.4595383815352614,D5,M38,D6,M38,D5-D6
D9M38,D5M38,0.624544981799272,D5,M38,D9,M38,D5-D9
D12M38,D5M38,0.656226249049962,D5,M38,D12,M38,D5-D12
D6M39,D5M39,0.4716588663546542,D5,M39,D6,M39,D5-D6
D9M39,D5M39,0.6599463978559142,D5,M39,D9,M39,D5-D9
D12M39,D5M39,0.5442217688707548,D5,M39,D12,M39,D5-D12
D6M40,D5M40,0.5190607624304973,D5,M40,D6,M40,D5-D6
D9M40,D5M40,0.688107524300972,D5,M40,D9,M40,D5-D9
D12M40,D5M40,0.5374614984599384,D5,M40,D12,M40,D5-D12
