Taxonomy,sample,relab,timepoint,mouse_id
Escherichia_coli,D4M31,0.0113604544181767,D4,M31
Escherichia_coli,D4M32,0.0239209568382735,D4,M32
Escherichia_coli,D4M33,0.0079203168126725,D4,M33
Escherichia_coli,D4M34,0.016080643225729,D4,M34
Escherichia_coli,D4M35,0.0304412176487059,D4,M35
Escherichia_coli,D4M36,0.0146405856234249,D4,M36
Escherichia_coli,D4M37,0.0100804032161286,D4,M37
Escherichia_coli,D4M38,0.0176407056282251,D4,M38
Escherichia_coli,D4M39,0.0178407136285451,D4,M39
Escherichia_coli,D4M40,0.0030001200048001,D4,M40
Escherichia_coli,D5M31,0.0191607664306572,D5,M31
Escherichia_coli,D5M32,0.0212008480339214,D5,M32
Escherichia_coli,D5M33,0.0101604064162567,D5,M33
Escherichia_coli,D5M34,0.0214808592343694,D5,M34
Escherichia_coli,D5M35,0.015120604824193,D5,M35
Escherichia_coli,D5M37,0.0357614304572183,D5,M37
Escherichia_coli,D5M38,0.0259610384415377,D5,M38
Escherichia_coli,D5M39,0.0241609664386575,D5,M39
Escherichia_coli,D5M40,0.0098403936157446,D5,M40
Escherichia_coli,D6M31,0.0040801632065282,D6,M31
Escherichia_coli,D6M32,0.0074002960118404,D6,M32
Escherichia_coli,D6M33,0.014920596823873,D6,M33
Escherichia_coli,D6M34,0.0048001920076803,D6,M34
Escherichia_coli,D6M35,0.0064402576103044,D6,M35
Escherichia_coli,D6M36,0.0234409376375055,D6,M36
Escherichia_coli,D6M37,0.0299211968478739,D6,M37
Escherichia_coli,D6M38,0.0124004960198408,D6,M38
Escherichia_coli,D6M39,0.0121604864194568,D6,M39
Escherichia_coli,D6M40,0.0110404416176647,D6,M40
Escherichia_coli,D9M31,0.0018000720028801,D9,M31
Escherichia_coli,D9M32,0.0070402816112644,D9,M32
Escherichia_coli,D9M33,0.0017600704028161,D9,M33
Escherichia_coli,D9M34,0.0017600704028161,D9,M34
Escherichia_coli,D9M35,0.0028001120044801,D9,M35
Escherichia_coli,D9M36,0.0041601664066562,D9,M36
Escherichia_coli,D9M37,0.0019600784031361,D9,M37
Escherichia_coli,D9M38,0.0040001600064002,D9,M38
Escherichia_coli,D9M39,0.0028001120044801,D9,M39
Escherichia_coli,D9M40,0.0021200848033921,D9,M40
Escherichia_coli,D12M31,0.0026401056042241,D12,M31
Escherichia_coli,D12M32,0.0093603744149766,D12,M32
Escherichia_coli,D12M33,0.0029601184047361,D12,M33
Escherichia_coli,D12M34,0.0027201088043521,D12,M34
Escherichia_coli,D12M35,0.000680027201088,D12,M35
Escherichia_coli,D12M36,0.000960038401536,D12,M36
Escherichia_coli,D12M37,0.0015600624024961,D12,M37
Escherichia_coli,D12M38,0.0096403856154246,D12,M38
Escherichia_coli,D12M39,0.001440057602304,D12,M39
Escherichia_coli,D12M40,0.0010000400016,D12,M40
