Taxonomy,sample,relab,timepoint,mouse_id,mean,median
Muribaculaceae,D4M31,0.276491059642386,D4,M31,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M31,0.270730829233169,D4,M31,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M31,0.111964478579143,D4,M31,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M31,0.0682027281091244,D4,M31,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M31,0.0327213088523541,D4,M31,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M31,0.0396415856634265,D4,M31,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M31,0.0297211888475539,D4,M31,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M31,0.0133205328213129,D4,M31,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M31,0.0387215488619545,D4,M31,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M31,0.0113604544181767,D4,M31,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M32,0.290451618064723,D4,M32,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M32,0.213448537941518,D4,M32,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M32,0.094363774550982,D4,M32,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M32,0.0678827153086123,D4,M32,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M32,0.107804312172487,D4,M32,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M32,0.0687627505100204,D4,M32,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M32,0.0091203648145925,D4,M32,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M32,0.0100804032161286,D4,M32,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M32,0.0197207888315533,D4,M32,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M32,0.0239209568382735,D4,M32,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M33,0.166846673866955,D4,M33,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M33,0.406616264650586,D4,M33,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M33,0.183407336293452,D4,M33,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M33,0.0028801152046081,D4,M33,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M33,0.0332013280531221,D4,M33,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M33,0.12532501300052,D4,M33,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M33,0.0040401616064642,D4,M33,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M33,0.0068402736109444,D4,M33,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M33,0.0172406896275851,D4,M33,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M33,0.0079203168126725,D4,M33,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M34,0.0929637185487419,D4,M34,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M34,0.0514420576823073,D4,M34,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M34,0.0500820032801312,D4,M34,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M34,0.0707228289131565,D4,M34,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M34,0.0244809792391696,D4,M34,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M34,0.0391215648625945,D4,M34,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M34,0.0136805472218889,D4,M34,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M34,0.0303212128485139,D4,M34,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M34,0.0063602544101764,D4,M34,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M34,0.016080643225729,D4,M34,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M35,0.161446457858314,D4,M35,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M35,0.391295651826073,D4,M35,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M35,0.0129205168206728,D4,M35,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M35,0.0668826753070123,D4,M35,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M35,0.0672826913076523,D4,M35,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M35,0.0548021920876835,D4,M35,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M35,0.0442017680707228,D4,M35,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M35,0.0408016320652826,D4,M35,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M35,0.0142805712228489,D4,M35,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M35,0.0304412176487059,D4,M35,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M36,0.364494579783191,D4,M36,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M36,0.18888755550222,D4,M36,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M36,0.134445377815113,D4,M36,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M36,0.0522420896835873,D4,M36,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M36,0.0576823072922917,D4,M36,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M36,0.109724388975559,D4,M36,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M36,0.0138405536221449,D4,M36,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M36,0.0020800832033281,D4,M36,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M36,0.0120004800192008,D4,M36,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M36,0.0146405856234249,D4,M36,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M37,0.41665666626665,D4,M37,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M37,0.171166846673867,D4,M37,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M37,0.155446217848714,D4,M37,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M37,0.0144805792231689,D4,M37,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M37,0.0288011520460818,D4,M37,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M37,0.133405336213449,D4,M37,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M37,0.0072802912116484,D4,M37,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M37,0.016080643225729,D4,M37,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M37,0.0060002400096003,D4,M37,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M37,0.0100804032161286,D4,M37,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M38,0.449897995919837,D4,M38,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M38,0.159846393855754,D4,M38,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M38,0.0906036241449658,D4,M38,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M38,0.0030401216048641,D4,M38,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M38,0.0764030561222449,D4,M38,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M38,0.0702828113124525,D4,M38,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M38,0.0138805552222089,D4,M38,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M38,0.0120404816192648,D4,M38,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M38,0.0133605344213769,D4,M38,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M38,0.0178007120284811,D4,M38,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M39,0.50070002800112,D4,M39,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M39,0.126565062602504,D4,M39,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M39,0.127845113804552,D4,M39,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M39,0.0024000960038401,D4,M39,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M39,0.0378015120604824,D4,M39,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M39,0.112364494579783,D4,M39,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M39,0.0192007680307212,D4,M39,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M39,0.001240049601984,D4,M39,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M39,0.0107204288171527,D4,M39,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M39,0.0178407136285451,D4,M39,0.010728592409002456,0.0093603744149766
Muribaculaceae,D4M40,0.492619704788192,D4,M40,0.39683791433289983,0.418176727069083
Bacteroidaceae,D4M40,0.22596903876155,D4,M40,0.16375675435180664,0.138165526621065
Lachnospiraceae,D4M40,0.09444377775111,D4,M40,0.13989784081159168,0.139045561822473
Lactobacillaceae,D4M40,0.015920636825473,D4,M40,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D4M40,0.0387215488619545,D4,M40,0.034367905328458036,0.0266010640425617
Rikenellaceae,D4M40,0.0986039441577663,D4,M40,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D4M40,0.0019200768030721,D4,M40,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D4M40,0.0037201488059522,D4,M40,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D4M40,0.0058002320092803,D4,M40,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D4M40,0.0030001200048001,D4,M40,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M31,0.395775831033241,D12,M31,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M31,0.12992519700788,D12,M31,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M31,0.161886475459018,D12,M31,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M31,0.15520620824833,D12,M31,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M31,0.0131605264210568,D12,M31,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M31,0.0243609744389776,D12,M31,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M31,0.0073202928117124,D12,M31,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M31,0.0134805392215689,D12,M31,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M31,0.0048401936077443,D12,M31,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M31,0.0026401056042241,D12,M31,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M32,0.512660506420257,D12,M32,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M32,0.0682427297091884,D12,M32,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M32,0.164846593863755,D12,M32,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M32,0.0297611904476179,D12,M32,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M32,0.0502420096803872,D12,M32,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M32,0.0497619904796192,D12,M32,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M32,0.0099203968158726,D12,M32,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M32,0.0117204688187528,D12,M32,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M32,0.0081603264130565,D12,M32,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M32,0.0093603744149766,D12,M32,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M33,0.412736509460378,D12,M33,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M33,0.125565022600904,D12,M33,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M33,0.159766390655626,D12,M33,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M33,0.0550422016880675,D12,M33,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M33,0.0219208768350734,D12,M33,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M33,0.0259610384415377,D12,M33,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M33,0.0214408576343054,D12,M33,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M33,0.0231609264370575,D12,M33,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M33,0.0044401776071042,D12,M33,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M33,0.0029601184047361,D12,M33,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M34,0.401736069442778,D12,M34,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M34,0.112204488179527,D12,M34,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M34,0.139045561822473,D12,M34,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M34,0.199247969918797,D12,M34,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M34,0.0129605184207368,D12,M34,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M34,0.0234409376375055,D12,M34,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M34,0.0062402496099844,D12,M34,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M34,0.0119604784191368,D12,M34,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M34,0.0094403776151046,D12,M34,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M34,0.0027201088043521,D12,M34,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M35,0.518020720828833,D12,M35,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M35,0.0733629345173807,D12,M35,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M35,0.135125405016201,D12,M35,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M35,0.112364494579783,D12,M35,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M35,0.0252010080403216,D12,M35,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M35,0.0235209408376335,D12,M35,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M35,0.0089203568142725,D12,M35,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M35,0.0132405296211848,D12,M35,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M35,0.0079203168126725,D12,M35,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M35,0.000680027201088,D12,M35,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M36,0.461138445537822,D12,M36,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M36,0.106804272170887,D12,M36,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M36,0.155286211448458,D12,M36,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M36,0.142165686627465,D12,M36,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M36,0.0082803312132485,D12,M36,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M36,0.0664826593063723,D12,M36,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M36,0.0094803792151686,D12,M36,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M36,0.0033601344053762,D12,M36,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M36,0.0035201408056322,D12,M36,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M36,0.000960038401536,D12,M36,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M37,0.504060162406496,D12,M37,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M37,0.0970838833553342,D12,M37,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M37,0.122684907396296,D12,M37,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M37,0.165806632265291,D12,M37,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M37,0.0134805392215689,D12,M37,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M37,0.0495219808792352,D12,M37,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M37,0.0028401136045441,D12,M37,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M37,0.0102404096163847,D12,M37,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M37,0.0032001280051202,D12,M37,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M37,0.0015600624024961,D12,M37,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M38,0.497619904796192,D12,M38,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M38,0.148125925037001,D12,M38,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M38,0.171126845073803,D12,M38,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M38,0.0047601904076163,D12,M38,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M38,0.0232409296371855,D12,M38,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M38,0.093003720148806,D12,M38,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M38,0.001120044801792,D12,M38,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M38,0.0098803952158086,D12,M38,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M38,0.0050002000080003,D12,M38,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M38,0.0096403856154246,D12,M38,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M39,0.62022480899236,D12,M39,0.39683791433289983,0.418176727069083
Bacteroidaceae,D12M39,0.100564022560902,D12,M39,0.16375675435180664,0.138165526621065
Lachnospiraceae,D12M39,0.133845353814153,D12,M39,0.13989784081159168,0.139045561822473
Lactobacillaceae,D12M39,0.0392415696627865,D12,M39,0.050691007232126,0.0359214368574743
Erysipelotrichaceae,D12M39,0.0078003120124805,D12,M39,0.034367905328458036,0.0266010640425617
Rikenellaceae,D12M39,0.0506020240809632,D12,M39,0.07956971340078094,0.0702828113124525
Deferribacteraceae,D12M39,0.0023200928037121,D12,M39,0.016972107455726776,0.0085203408136325
Oscillospiraceae,D12M39,0.0048801952078083,D12,M39,0.015352450832727174,0.0119604784191368
Ruminococcaceae,D12M39,0.0054402176087043,D12,M39,0.0109718674461264,0.0094403776151046
Enterobacteriaceae,D12M39,0.001440057602304,D12,M39,0.010728592409002456,0.0093603744149766
Muribaculaceae,D12M40,0.441377655106204,D12,M40,0.39683791433289983,0.418176727069083
