Taxonomy,sample,relab,timepoint,mouse_id
Muribaculaceae,D4M31,0.276491059642386,D4,M31
Bacteroidaceae,D4M31,0.270730829233169,D4,M31
Lachnospiraceae,D4M31,0.111964478579143,D4,M31
Lactobacillaceae,D4M31,0.0682027281091244,D4,M31
Erysipelotrichaceae,D4M31,0.0327213088523541,D4,M31
Akkermansiaceae,D4M31,0.0143605744229769,D4,M31
Rikenellaceae,D4M31,0.0396415856634265,D4,M31
Deferribacteraceae,D4M31,0.0297211888475539,D4,M31
Oscillospiraceae,D4M31,0.0133205328213129,D4,M31
Ruminococcaceae,D4M31,0.0387215488619545,D4,M31
Muribaculaceae,D4M32,0.290451618064723,D4,M32
Bacteroidaceae,D4M32,0.213448537941518,D4,M32
Lachnospiraceae,D4M32,0.094363774550982,D4,M32
Lactobacillaceae,D4M32,0.0678827153086123,D4,M32
Erysipelotrichaceae,D4M32,0.107804312172487,D4,M32
Akkermansiaceae,D4M32,0.0111204448177927,D4,M32
Rikenellaceae,D4M32,0.0687627505100204,D4,M32
Deferribacteraceae,D4M32,0.0091203648145925,D4,M32
Oscillospiraceae,D4M32,0.0100804032161286,D4,M32
Ruminococcaceae,D4M32,0.0197207888315533,D4,M32
Muribaculaceae,D4M33,0.166846673866955,D4,M33
Bacteroidaceae,D4M33,0.406616264650586,D4,M33
Lachnospiraceae,D4M33,0.183407336293452,D4,M33
Lactobacillaceae,D4M33,0.0028801152046081,D4,M33
Erysipelotrichaceae,D4M33,0.0332013280531221,D4,M33
Akkermansiaceae,D4M33,0.000160006400256,D4,M33
Rikenellaceae,D4M33,0.12532501300052,D4,M33
Deferribacteraceae,D4M33,0.0040401616064642,D4,M33
Oscillospiraceae,D4M33,0.0068402736109444,D4,M33
Ruminococcaceae,D4M33,0.0172406896275851,D4,M33
Muribaculaceae,D4M34,0.0929637185487419,D4,M34
Bacteroidaceae,D4M34,0.0514420576823073,D4,M34
Lachnospiraceae,D4M34,0.0500820032801312,D4,M34
Lactobacillaceae,D4M34,0.0707228289131565,D4,M34
Erysipelotrichaceae,D4M34,0.0244809792391696,D4,M34
Akkermansiaceae,D4M34,0.0061602464098563,D4,M34
Rikenellaceae,D4M34,0.0391215648625945,D4,M34
Deferribacteraceae,D4M34,0.0136805472218889,D4,M34
Oscillospiraceae,D4M34,0.0303212128485139,D4,M34
Ruminococcaceae,D4M34,0.0063602544101764,D4,M34
Muribaculaceae,D4M35,0.161446457858314,D4,M35
Bacteroidaceae,D4M35,0.391295651826073,D4,M35
Lachnospiraceae,D4M35,0.0129205168206728,D4,M35
Lactobacillaceae,D4M35,0.0668826753070123,D4,M35
Erysipelotrichaceae,D4M35,0.0672826913076523,D4,M35
Akkermansiaceae,D4M35,0.000960038401536,D4,M35
Rikenellaceae,D4M35,0.0548021920876835,D4,M35
Deferribacteraceae,D4M35,0.0442017680707228,D4,M35
Oscillospiraceae,D4M35,0.0408016320652826,D4,M35
Ruminococcaceae,D4M35,0.0142805712228489,D4,M35
Muribaculaceae,D4M36,0.364494579783191,D4,M36
Bacteroidaceae,D4M36,0.18888755550222,D4,M36
Lachnospiraceae,D4M36,0.134445377815113,D4,M36
Lactobacillaceae,D4M36,0.0522420896835873,D4,M36
Erysipelotrichaceae,D4M36,0.0576823072922917,D4,M36
Akkermansiaceae,D4M36,0.000480019200768,D4,M36
Rikenellaceae,D4M36,0.109724388975559,D4,M36
Deferribacteraceae,D4M36,0.0138405536221449,D4,M36
Oscillospiraceae,D4M36,0.0020800832033281,D4,M36
Ruminococcaceae,D4M36,0.0120004800192008,D4,M36
Muribaculaceae,D4M37,0.41665666626665,D4,M37
Bacteroidaceae,D4M37,0.171166846673867,D4,M37
Lachnospiraceae,D4M37,0.155446217848714,D4,M37
Lactobacillaceae,D4M37,0.0144805792231689,D4,M37
Erysipelotrichaceae,D4M37,0.0288011520460818,D4,M37
Akkermansiaceae,D4M37,0.000320012800512,D4,M37
Rikenellaceae,D4M37,0.133405336213449,D4,M37
Deferribacteraceae,D4M37,0.0072802912116484,D4,M37
Oscillospiraceae,D4M37,0.016080643225729,D4,M37
Ruminococcaceae,D4M37,0.0060002400096003,D4,M37
Muribaculaceae,D4M38,0.449897995919837,D4,M38
Bacteroidaceae,D4M38,0.159846393855754,D4,M38
Lachnospiraceae,D4M38,0.0906036241449658,D4,M38
Lactobacillaceae,D4M38,0.0030401216048641,D4,M38
Erysipelotrichaceae,D4M38,0.0764030561222449,D4,M38
Akkermansiaceae,D4M38,0.000280011200448,D4,M38
Rikenellaceae,D4M38,0.0702828113124525,D4,M38
Deferribacteraceae,D4M38,0.0138805552222089,D4,M38
Oscillospiraceae,D4M38,0.0120404816192648,D4,M38
Ruminococcaceae,D4M38,0.0133605344213769,D4,M38
Muribaculaceae,D4M39,0.50070002800112,D4,M39
Bacteroidaceae,D4M39,0.126565062602504,D4,M39
Lachnospiraceae,D4M39,0.127845113804552,D4,M39
Lactobacillaceae,D4M39,0.0024000960038401,D4,M39
Erysipelotrichaceae,D4M39,0.0378015120604824,D4,M39
Akkermansiaceae,D4M39,4.00016000640026e-05,D4,M39
Rikenellaceae,D4M39,0.112364494579783,D4,M39
Deferribacteraceae,D4M39,0.0192007680307212,D4,M39
Oscillospiraceae,D4M39,0.001240049601984,D4,M39
Ruminococcaceae,D4M39,0.0107204288171527,D4,M39
Muribaculaceae,D4M40,0.492619704788192,D4,M40
Bacteroidaceae,D4M40,0.22596903876155,D4,M40
Lachnospiraceae,D4M40,0.09444377775111,D4,M40
Lactobacillaceae,D4M40,0.015920636825473,D4,M40
Erysipelotrichaceae,D4M40,0.0387215488619545,D4,M40
Akkermansiaceae,D4M40,0.0,D4,M40
Rikenellaceae,D4M40,0.0986039441577663,D4,M40
Deferribacteraceae,D4M40,0.0019200768030721,D4,M40
Oscillospiraceae,D4M40,0.0037201488059522,D4,M40
Ruminococcaceae,D4M40,0.0058002320092803,D4,M40
Muribaculaceae,D5M31,0.339773590943638,D5,M31
Bacteroidaceae,D5M31,0.208688347533901,D5,M31
Lachnospiraceae,D5M31,0.0396415856634265,D5,M31
Lactobacillaceae,D5M31,0.0028401136045441,D5,M31
Erysipelotrichaceae,D5M31,0.0486419456778271,D5,M31
Akkermansiaceae,D5M31,0.137085483419337,D5,M31
Rikenellaceae,D5M31,0.110844433777351,D5,M31
Deferribacteraceae,D5M31,0.0126005040201608,D5,M31
Oscillospiraceae,D5M31,0.0292811712468499,D5,M31
Ruminococcaceae,D5M31,0.0175607024280971,D5,M31
Muribaculaceae,D5M32,0.395895835833433,D5,M32
Bacteroidaceae,D5M32,0.154486179447178,D5,M32
Lachnospiraceae,D5M32,0.0963238529541182,D5,M32
Lactobacillaceae,D5M32,0.0045601824072962,D5,M32
Erysipelotrichaceae,D5M32,0.0456418256730269,D5,M32
Akkermansiaceae,D5M32,0.077803112124485,D5,M32
Rikenellaceae,D5M32,0.138805552222089,D5,M32
Deferribacteraceae,D5M32,0.0343613744549782,D5,M32
Oscillospiraceae,D5M32,0.0048001920076803,D5,M32
Ruminococcaceae,D5M32,0.0108404336173447,D5,M32
Muribaculaceae,D5M33,0.458338333533341,D5,M33
Bacteroidaceae,D5M33,0.0686027441097644,D5,M33
Lachnospiraceae,D5M33,0.119044761790472,D5,M33
Lactobacillaceae,D5M33,0.0056402256090243,D5,M33
Erysipelotrichaceae,D5M33,0.0568422736909476,D5,M33
Akkermansiaceae,D5M33,0.078403136125445,D5,M33
Rikenellaceae,D5M33,0.0573622944917797,D5,M33
Deferribacteraceae,D5M33,0.0766030641225649,D5,M33
Oscillospiraceae,D5M33,0.0129605184207368,D5,M33
Ruminococcaceae,D5M33,0.0068002720108804,D5,M33
Muribaculaceae,D5M34,0.432977319092764,D5,M34
Bacteroidaceae,D5M34,0.0803632145285811,D5,M34
Lachnospiraceae,D5M34,0.119844793791752,D5,M34
Lactobacillaceae,D5M34,0.001160046401856,D5,M34
Erysipelotrichaceae,D5M34,0.0454018160726429,D5,M34
Akkermansiaceae,D5M34,0.0546421856874275,D5,M34
